标签名,标签名 (原始),中文翻译,完整显示,分类,子分类,使用次数,热度
twitter username,twitter_username,twitter username,twitter username (twitter username),一般标签,其他,383080,🔥🔥🔥
pink eyes,pink_eyes,粉眼睛,pink eyes (粉眼睛),一般标签,角色特征,378599,🔥🔥🔥
elbow gloves,elbow_gloves,elbow 手套,elbow gloves (elbow 手套),一般标签,其他,377950,🔥🔥🔥
tongue out,tongue_out,吐舌,tongue out (吐舌),一般标签,其他,375975,🔥🔥🔥
cat ears,cat_ears,猫耳,cat ears (猫耳),一般标签,角色特征,370741,🔥🔥🔥
streaked hair,streaked_hair,streaked hair,streaked hair (streaked hair),一般标签,角色特征,370101,🔥🔥🔥
midriff,midriff,midriff,midriff (midriff),一般标签,其他,369870,🔥🔥🔥
holding weapon,holding_weapon,手持 武器,holding weapon (手持 武器),一般标签,物品,369657,🔥🔥🔥
stomach,stomach,stomach,stomach (stomach),一般标签,其他,369037,🔥🔥🔥
dark skin,dark_skin,黑暗 skin,dark skin (黑暗 skin),一般标签,角色特征,368463,🔥🔥🔥
sailor collar,sailor_collar,sailor collar,sailor collar (sailor collar),一般标签,其他,367984,🔥🔥🔥
serafuku,serafuku,serafuku,serafuku (serafuku),一般标签,其他,367738,🔥🔥🔥
pokemon,pokemon,pokemon,pokemon (pokemon),角色,其他,366577,🔥🔥🔥
cloud,cloud,云,cloud (云),一般标签,其他,363412,🔥🔥🔥
hair flower,hair_flower,hair 花,hair flower (hair 花),一般标签,角色特征,361575,🔥🔥🔥
two-tone hair,two-tone_hair,two-tone hair,two-tone hair (two-tone hair),一般标签,角色特征,353859,🔥🔥🔥
english text,english_text,english text,english text (english text),一般标签,其他,352677,🔥🔥🔥
sex,sex,sex,sex (sex),一般标签,其他,352222,🔥🔥🔥
mole,mole,mole,mole (mole),一般标签,其他,352049,🔥🔥🔥
grey background,grey_background,grey background,grey background (grey background),一般标签,场景,347120,🔥🔥🔥
miniskirt,miniskirt,miniskirt,miniskirt (miniskirt),一般标签,服饰,344901,🔥🔥🔥
black jacket,black_jacket,black 夹克,black jacket (black 夹克),一般标签,服饰,344596,🔥🔥🔥
sword,sword,剑,sword (剑),一般标签,其他,342889,🔥🔥🔥
looking back,looking_back,looking back,looking back (looking back),一般标签,其他,339088,🔥🔥🔥
open jacket,open_jacket,open 夹克,open jacket (open 夹克),一般标签,服饰,338648,🔥🔥🔥
fingerless gloves,fingerless_gloves,fingerless 手套,fingerless gloves (fingerless 手套),一般标签,其他,338084,🔥🔥🔥
coat,coat,外套,coat (外套),一般标签,服饰,334768,🔥🔥🔥
necklace,necklace,项链,necklace (项链),一般标签,其他,334454,🔥🔥🔥
hair bun,hair_bun,hair bun,hair bun (hair bun),一般标签,角色特征,334149,🔥🔥🔥
chibi,chibi,chibi,chibi (chibi),一般标签,其他,332524,🔥🔥🔥
black dress,black_dress,black 连衣裙,black dress (black 连衣裙),一般标签,服饰,331993,🔥🔥🔥
wide sleeves,wide_sleeves,wide sleeves,wide sleeves (wide sleeves),一般标签,其他,328558,🔥🔥🔥
hair over one eye,hair_over_one_eye,hair over one eye,hair over one eye (hair over one eye),一般标签,角色特征,327955,🔥🔥🔥
striped clothes,striped_clothes,striped clothes,striped clothes (striped clothes),一般标签,服饰,326151,🔥🔥🔥
on back,on_back,on back,on back (on back),一般标签,其他,325188,🔥🔥🔥
black shirt,black_shirt,black 衬衫,black shirt (black 衬衫),一般标签,服饰,322656,🔥🔥🔥
star (symbol),star_(symbol),星星 (symbol),star (symbol) (星星 (symbol)),一般标签,其他,320378,🔥🔥🔥
spread legs,spread_legs,spread legs,spread legs (spread legs),一般标签,其他,319780,🔥🔥🔥
grin,grin,露齿笑,grin (露齿笑),一般标签,其他,318148,🔥🔥🔥
orange hair,orange_hair,orange hair,orange hair (orange hair),一般标签,角色特征,314565,🔥🔥🔥
white thighhighs,white_thighhighs,white 过膝袜,white thighhighs (white 过膝袜),一般标签,其他,313230,🔥🔥🔥
cum,cum,cum,cum (cum),一般标签,其他,311816,🔥🔥🔥
nail polish,nail_polish,指甲油,nail polish (指甲油),一般标签,其他,311548,🔥🔥🔥
kimono,kimono,和服,kimono (和服),一般标签,服饰,311212,🔥🔥🔥
off shoulder,off_shoulder,off shoulder,off shoulder (off shoulder),一般标签,其他,310420,🔥🔥🔥
black eyes,black_eyes,black eyes,black eyes (black eyes),一般标签,角色特征,306470,🔥🔥🔥
armpits,armpits,腋窝,armpits (腋窝),一般标签,其他,303206,🔥🔥🔥
3girls,3girls,3 个女孩,3girls (3 个女孩),一般标签,其他,300165,🔥🔥🔥
from behind,from_behind,from behind,from behind (from behind),一般标签,其他,298923,🔥🔥🔥
from side,from_side,from side,from side (from side),一般标签,其他,297119,🔥🔥🔥
hololive,hololive,hololive,hololive (hololive),角色,其他,296723,🔥🔥🔥
sweatdrop,sweatdrop,sweatdrop,sweatdrop (sweatdrop),一般标签,其他,296147,🔥🔥🔥
rabbit ears,rabbit_ears,兔耳,rabbit ears (兔耳),一般标签,角色特征,294884,🔥🔥🔥
yuri,yuri,yuri,yuri (yuri),一般标签,其他,292407,🔥🔥🔥
huge breasts,huge_breasts,huge 胸部,huge breasts (huge 胸部),一般标签,角色特征,292071,🔥🔥🔥
red bow,red_bow,red 蝴蝶结,red bow (red 蝴蝶结),一般标签,其他,289764,🔥🔥🔥
fate/grand order,fate/grand_order,fate/grand order,fate/grand order (fate/grand order),角色,其他,288183,🔥🔥🔥
blurry,blurry,blurry,blurry (blurry),一般标签,其他,287766,🔥🔥🔥
vest,vest,背心,vest (背心),一般标签,其他,286601,🔥🔥🔥
animal ear fluff,animal_ear_fluff,animal ear fluff,animal ear fluff (animal ear fluff),一般标签,角色特征,286557,🔥🔥🔥
genshin impact,genshin_impact,genshin 冲击,genshin impact (genshin 冲击),角色,其他,286419,🔥🔥🔥
bag,bag,包,bag (包),一般标签,物品,286298,🔥🔥🔥
leotard,leotard,leotard,leotard (leotard),一般标签,其他,279978,🔥🔥🔥
armor,armor,盔甲,armor (盔甲),一般标签,服饰,278946,🔥🔥🔥
parted bangs,parted_bangs,parted 刘海,parted bangs (parted 刘海),一般标签,画风,278632,🔥🔥🔥
tears,tears,tears,tears (tears),一般标签,角色特征,277117,🔥🔥🔥
apron,apron,apron,apron (apron),一般标签,其他,276432,🔥🔥🔥
arm up,arm_up,arm up,arm up (arm up),一般标签,其他,276045,🔥🔥🔥
character name,character_name,character name,character name (character name),一般标签,其他,275745,🔥🔥🔥
cape,cape,披风,cape (披风),一般标签,其他,275094,🔥🔥🔥
sweater,sweater,毛衣,sweater (毛衣),一般标签,其他,273619,🔥🔥🔥
black pantyhose,black_pantyhose,black pantyhose,black pantyhose (black pantyhose),一般标签,其他,273298,🔥🔥🔥
idolmaster,idolmaster,idolmaster,idolmaster (idolmaster),角色,其他,269012,🔥🔥🔥
mosaic censoring,mosaic_censoring,mosaic censoring,mosaic censoring (mosaic censoring),一般标签,其他,267488,🔥🔥🔥
water,water,水,water (水),一般标签,其他,266939,🔥🔥🔥
blue sky,blue_sky,blue 天空,blue sky (blue 天空),一般标签,场景,264002,🔥🔥🔥
clothes lift,clothes_lift,clothes lift,clothes lift (clothes lift),一般标签,服饰,263792,🔥🔥🔥
scarf,scarf,scarf,scarf (scarf),一般标签,其他,263681,🔥🔥🔥
high heels,high_heels,high heels,high heels (high heels),一般标签,其他,262793,🔥🔥🔥
vaginal,vaginal,vaginal,vaginal (vaginal),一般标签,其他,258087,🔥🔥🔥
completely nude,completely_nude,completely nude,completely nude (completely nude),一般标签,其他,256720,🔥🔥🔥
crop top,crop_top,crop top,crop top (crop top),一般标签,其他,255619,🔥🔥🔥
grey eyes,grey_eyes,grey eyes,grey eyes (grey eyes),一般标签,角色特征,255324,🔥🔥🔥
bra,bra,bra,bra (bra),一般标签,其他,254605,🔥🔥🔥
collar,collar,collar,collar (collar),一般标签,其他,250552,🔥🔥🔥
feet,feet,feet,feet (feet),一般标签,其他,249662,🔥🔥🔥
looking to the side,looking_to_the_side,looking to the side,looking to the side (looking to the side),一般标签,其他,247241,🔥🔥🔥
hands up,hands_up,hands up,hands up (hands up),一般标签,其他,247070,🔥🔥🔥
bracelet,bracelet,手链,bracelet (手链),一般标签,其他,244988,🔥🔥🔥
fingernails,fingernails,fingernails,fingernails (fingernails),一般标签,其他,243926,🔥🔥🔥
dated,dated,dated,dated (dated),一般标签,其他,242484,🔥🔥🔥
red ribbon,red_ribbon,red 丝带,red ribbon (red 丝带),一般标签,其他,241988,🔥🔥🔥
arms up,arms_up,arms up,arms up (arms up),一般标签,其他,239753,🔥🔥🔥
cup,cup,杯子,cup (杯子),一般标签,其他,238456,🔥🔥🔥
eyelashes,eyelashes,eyelashes,eyelashes (eyelashes),一般标签,角色特征,238173,🔥🔥🔥
clothing cutout,clothing_cutout,clothing cutout,clothing cutout (clothing cutout),一般标签,服饰,238114,🔥🔥🔥
black shoes,black_shoes,black 鞋子,black shoes (black 鞋子),一般标签,服饰,237924,🔥🔥🔥
v-shaped eyebrows,v-shaped_eyebrows,v-shaped eyebrows,v-shaped eyebrows (v-shaped eyebrows),一般标签,角色特征,237647,🔥🔥🔥
multiple views,multiple_views,multiple views,multiple views (multiple views),一般标签,构图,236757,🔥🔥🔥
black choker,black_choker,black choker,black choker (black choker),一般标签,其他,236749,🔥🔥🔥
blue skirt,blue_skirt,blue 裙子,blue skirt (blue 裙子),一般标签,服饰,233710,🔥🔥🔥
aqua eyes,aqua_eyes,aqua eyes,aqua eyes (aqua eyes),一般标签,角色特征,233543,🔥🔥🔥
puffy short sleeves,puffy_short_sleeves,puffy 矮 sleeves,puffy short sleeves (puffy 矮 sleeves),一般标签,其他,233133,🔥🔥🔥
:o,:o,:o,:o (:o),一般标签,其他,233090,🔥🔥🔥
neckerchief,neckerchief,neckerchief,neckerchief (neckerchief),一般标签,其他,229382,🔥🔥🔥
orange eyes,orange_eyes,橙眼睛,orange eyes (橙眼睛),一般标签,角色特征,229350,🔥🔥🔥
dark-skinned female,dark-skinned_female,dark-skinned female,dark-skinned female (dark-skinned female),一般标签,角色特征,229180,🔥🔥🔥
twin braids,twin_braids,twin braids,twin braids (twin braids),一般标签,其他,227698,🔥🔥🔥
upper teeth only,upper_teeth_only,upper teeth only,upper teeth only (upper teeth only),一般标签,其他,226491,🔥🔥🔥
white panties,white_panties,white panties,white panties (white panties),一般标签,其他,226136,🔥🔥🔥
two side up,two_side_up,two side up,two side up (two side up),一般标签,其他,225165,🔥🔥🔥
symbol-shaped pupils,symbol-shaped_pupils,symbol-shaped pupils,symbol-shaped pupils (symbol-shaped pupils),一般标签,其他,223502,🔥🔥🔥
black pants,black_pants,black 长裤,black pants (black 长裤),一般标签,服饰,222835,🔥🔥🔥
mole under eye,mole_under_eye,mole under eye,mole under eye (mole under eye),一般标签,角色特征,220609,🔥🔥🔥
side ponytail,side_ponytail,side 马尾,side ponytail (side 马尾),一般标签,角色特征,220107,🔥🔥🔥
black hat,black_hat,black 帽子,black hat (black 帽子),一般标签,服饰,219968,🔥🔥🔥
thigh strap,thigh_strap,thigh strap,thigh strap (thigh strap),一般标签,其他,219504,🔥🔥🔥
flat chest,flat_chest,平胸,flat chest (平胸),一般标签,其他,219206,🔥🔥🔥
border,border,border,border (border),一般标签,其他,219153,🔥🔥🔥
sleeves past wrists,sleeves_past_wrists,sleeves past wrists,sleeves past wrists (sleeves past wrists),一般标签,其他,215532,🔥🔥🔥
fur trim,fur_trim,毛皮 trim,fur trim (毛皮 trim),一般标签,其他,214073,🔥🔥🔥
tree,tree,树,tree (树),一般标签,其他,212947,🔥🔥🔥
watermark,watermark,watermark,watermark (watermark),一般标签,其他,212177,🔥🔥🔥
strapless,strapless,strapless,strapless (strapless),一般标签,其他,208931,🔥🔥🔥
v,v,v,v (v),一般标签,其他,208752,🔥🔥🔥
pokemon (creature),pokemon_(creature),pokemon (creature),pokemon (creature) (pokemon (creature)),一般标签,其他,208406,🔥🔥🔥
feet out of frame,feet_out_of_frame,feet out of frame,feet out of frame (feet out of frame),一般标签,其他,208132,🔥🔥🔥
no humans,no_humans,no humans,no humans (no humans),一般标签,其他,208007,🔥🔥🔥
bar censor,bar_censor,bar censor,bar censor (bar censor),一般标签,其他,207038,🔥🔥🔥
fake animal ears,fake_animal_ears,fake animal ears,fake animal ears (fake animal ears),一般标签,角色特征,206381,🔥🔥🔥
sleeveless dress,sleeveless_dress,sleeveless 连衣裙,sleeveless dress (sleeveless 连衣裙),一般标签,服饰,205543,🔥🔥🔥
sparkle,sparkle,闪光,sparkle (闪光),一般标签,其他,205341,🔥🔥🔥
hand on own hip,hand_on_own_hip,hand on own hip,hand on own hip (hand on own hip),一般标签,其他,204937,🔥🔥🔥
sleeveless shirt,sleeveless_shirt,sleeveless 衬衫,sleeveless shirt (sleeveless 衬衫),一般标签,服饰,204632,🔥🔥🔥
toes,toes,toes,toes (toes),一般标签,其他,203884,🔥🔥🔥
cat tail,cat_tail,猫尾,cat tail (猫尾),一般标签,角色特征,203364,🔥🔥🔥
hair intakes,hair_intakes,hair intakes,hair intakes (hair intakes),一般标签,角色特征,197316,🔥🔥🔥
gradient hair,gradient_hair,gradient hair,gradient hair (gradient hair),一般标签,角色特征,196878,🔥🔥🔥
white socks,white_socks,white 袜子,white socks (white 袜子),一般标签,其他,196655,🔥🔥🔥
black bow,black_bow,black 蝴蝶结,black bow (black 蝴蝶结),一般标签,其他,195681,🔥🔥🔥
wrist cuffs,wrist_cuffs,wrist cuffs,wrist cuffs (wrist cuffs),一般标签,其他,193516,🔥🔥🔥
